State_name,Adm_year,Year_enter
Alabama,8,1819
Alaska,43,1959
Arizona,31,1912
Arkansas,12,1836
California,16,1850
Colorado,22,1876
Connecticut,0,1776
Delaware,0,1776
Florida,14,1845
Georgia,0,1776
Hawaii,43,1959
Idaho,26,1890
Illinois,8,1818
Indiana,7,1816
Iowa,15,1846
Kansas,18,1861
Kentucky,1,1792
Louisianna,6,1812
Maine,8,1820
Maryland,0,1776
Massachusetts,0,1776
Michigan,12,1837
Minnesota,18,1858
Mississippi,8,1817
Missouri,9,1821
Montana,26,1889
Nebraska,20,1867
Nevada,19,1864
New Hampshire,0,1776
New Jersey,0,1776
New Mexico,31,1912
New York,0,1776
North Carolina,0,1776
North Dakota,26,1889
Ohio,4,1803
Oklahoma,30,1907
Oregon,18,1859
Pennsylvania,0,1776
Rhode Island,0,1776
South Carolina,0,1776
South Dakota,26,1889
Tennessee,2,1796
Texas,15,1845
Utah,27,1896
Vermont,1,1791
Virginia,0,1776
Washington,26,1889
West Virginia,19,1863
Wisconsin,15,1848
Wyoming,26,1890